Algoritmo,Funcao_Custo,Funcao_Heuristica,Custo_Caminho,Nos_Gerados,Nos_Visitados,Caminho_Encontrado,Farmacias
Busca A*,custo_c1,heuristica_manhattan,210,64,22,"[(19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c2,N/A,255,1177,1100,"[(19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_euclidiana,260,468,386,"[(19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c2,heuristica_manhattan,260,354,276,"[(19, 6), (18, 6), (17, 6), (17, 7), (16, 7), (15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c3,N/A,228,1140,1066,"[(19, 6), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_euclidiana,228,382,290,"[(19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (19, 16), (19, 17), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (14, 18), (13, 18), (12, 18), (11, 18), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c3,heuristica_manhattan,228,182,78,"[(19, 6), (19, 7), (19, 8), (18, 8), (17, 8), (16, 8), (15, 8), (14, 8), (13, 8), (13, 9), (13, 10), (13, 11), (13, 12), (13, 13), (13, 14), (13, 15), (12, 15), (11, 15), (11, 16), (11, 17), (11, 18), (10, 18)]",resultados_experimento_2.csv
Busca de Custo Uniforme,custo_c4,N/A,217,1106,1018,"[(19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (19, 16), (19, 17), (19, 18), (18, 18), (17, 18), (16, 18), (15, 18), (14, 18), (13, 18), (12, 18), (11, 18), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_euclidiana,181,193,126,"[(19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (19, 11), (18, 11), (17, 11), (16, 11), (16, 12), (15, 12), (15, 13), (14, 13), (13, 13), (12, 13), (11, 13), (11, 14), (11, 15), (11, 16), (11, 17), (11, 18), (10, 18)]",resultados_experimento_2.csv
Busca A*,custo_c4,heuristica_manhattan,185,64,22,"[(19, 6), (19, 7), (19, 8), (19, 9), (19, 10), (18, 10), (17, 10), (16, 10), (15, 10), (14, 10), (13, 10), (12, 10), (11, 10), (10, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]",resultados_experimento_2.csv
